datetime0,datetime,search0,search
2012/1/17,2012/2/17,0,0
2012/1/18,2012/2/18,0,0
2012/1/19,2012/2/19,0,0
2012/1/20,2012/2/20,0,0
2012/1/21,2012/2/21,0,0
2012/1/22,2012/2/22,0,0
2012/1/23,2012/2/23,0,0
2012/1/24,2012/2/24,0,0
2012/1/25,2012/2/25,0,0
2012/1/26,2012/2/26,0,0
2012/1/27,2012/2/27,0,0
2012/1/28,2012/2/28,0,0
2012/1/29,2012/2/29,0,0
2012/1/30,2012/3/1,0,0
2012/1/31,2012/3/2,0,0
2012/2/1,2012/3/3,0,0
2012/2/2,2012/3/4,0,0
2012/2/3,2012/3/5,0,0
2012/2/4,2012/3/6,0,0
2012/2/5,2012/3/7,0,0
2012/2/6,2012/3/8,0,0
2012/2/7,2012/3/9,0,0
2012/2/8,2012/3/10,0,0
2012/2/9,2012/3/11,0,0
2012/2/10,2012/3/12,0,0
2012/2/11,2012/3/13,0,0
2012/2/12,2012/3/14,0,0
2012/2/13,2012/3/15,0,0
2012/2/14,2012/3/16,0,0
2012/2/15,2012/3/17,0,0
2012/2/16,2012/3/18,0,0
2012/2/17,2012/3/19,0,0
2012/2/18,2012/3/20,0,0
2012/2/19,2012/3/21,0,0
2012/2/20,2012/3/22,0,0
2012/2/21,2012/3/23,0,0
2012/2/22,2012/3/24,0,0
2012/2/23,2012/3/25,0,0
2012/2/24,2012/3/26,0,0
2012/2/25,2012/3/27,0,0
2012/2/26,2012/3/28,0,0
2012/2/27,2012/3/29,0,0
2012/2/28,2012/3/30,0,0
2012/2/29,2012/3/31,0,0
2012/3/1,2012/4/1,0,0
2012/3/2,2012/4/2,0,0
2012/3/3,2012/4/3,0,0
2012/3/4,2012/4/4,0,0
2012/3/5,2012/4/5,0,0
2012/3/6,2012/4/6,0,0
2012/3/7,2012/4/7,0,0
2012/3/8,2012/4/8,0,0
2012/3/9,2012/4/9,0,0
2012/3/10,2012/4/10,0,0
2012/3/11,2012/4/11,0,0
2012/3/12,2012/4/12,0,0
2012/3/13,2012/4/13,0,0
2012/3/14,2012/4/14,0,0
2012/3/15,2012/4/15,0,0
2012/3/16,2012/4/16,0,0
2012/3/17,2012/4/17,0,0
2012/3/18,2012/4/18,0,0
2012/3/19,2012/4/19,0,0
2012/3/20,2012/4/20,0,0
2012/3/21,2012/4/21,0,0
2012/3/22,2012/4/22,0,0
2012/3/23,2012/4/23,0,0
2012/3/24,2012/4/24,0,0
2012/3/25,2012/4/25,0,0
2012/3/26,2012/4/26,0,0
2012/3/27,2012/4/27,0,0
2012/3/28,2012/4/28,0,0
2012/3/29,2012/4/29,0,0
2012/3/30,2012/4/30,0,0
2012/3/31,2012/5/1,0,0
2012/4/1,2012/5/2,0,0
2012/4/2,2012/5/3,0,0
2012/4/3,2012/5/4,0,0
2012/4/4,2012/5/5,0,0
2012/4/5,2012/5/6,0,0
2012/4/6,2012/5/7,0,0
2012/4/7,2012/5/8,0,0
2012/4/8,2012/5/9,0,0
2012/4/9,2012/5/10,0,0
2012/4/10,2012/5/11,0,0
2012/4/11,2012/5/12,0,0
2012/4/12,2012/5/13,0,0
2012/4/13,2012/5/14,0,0
2012/4/14,2012/5/15,0,0
2012/4/15,2012/5/16,0,0
2012/4/16,2012/5/17,0,0
2012/4/17,2012/5/18,0,0
2012/4/18,2012/5/19,0,0
2012/4/19,2012/5/20,0,0
2012/4/20,2012/5/21,0,0
2012/4/21,2012/5/22,0,0
2012/4/22,2012/5/23,0,0
2012/4/23,2012/5/24,0,0
2012/4/24,2012/5/25,0,0
2012/4/25,2012/5/26,0,0
2012/4/26,2012/5/27,0,0
2012/4/27,2012/5/28,0,0
2012/4/28,2012/5/29,0,0
2012/4/29,2012/5/30,0,0
2012/4/30,2012/5/31,0,0
2012/5/1,2012/6/1,0,0
2012/5/2,2012/6/2,0,0
2012/5/3,2012/6/3,0,0
2012/5/4,2012/6/4,0,0
2012/5/5,2012/6/5,0,0
2012/5/6,2012/6/6,0,0
2012/5/7,2012/6/7,0,0
2012/5/8,2012/6/8,0,0
2012/5/9,2012/6/9,0,0
2012/5/10,2012/6/10,0,0
2012/5/11,2012/6/11,0,0
